class_folder,original_filename,new_filename
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.11 (2).jpeg,img_858e2a5d.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.11 (3).jpeg,img_9e164a1c.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.11.jpeg,img_6ba39c2d.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.12 (1).jpeg,img_0ef27fd4.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.12 (2).jpeg,img_f9776dae.jpeg
לא תקין לילה,WhatsApp Image 2026-09-22 at 12.43.12.jpeg,img_e0822324.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.27.34 (2).jpeg,img_9019503b.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.27.34 (3).jpeg,img_c9cd2055.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.27.35.jpeg,img_52fd647e.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.29.50 (1).jpeg,img_e463b9a2.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.29.50 (2).jpeg,img_8edb4400.jpeg
מסנן ריק,WhatsApp Image 2026-09-09 at 11.31.54.jpeg,img_dcfa087a.jpeg
מסנן ריק,WhatsApp Image 2026-09-22 at 12.43.10 (2).jpeg,img_46907167.jpeg
מסנן ריק,WhatsApp Image 2026-09-22 at 12.43.10 (3).jpeg,img_052502fa.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.27.34.jpeg,img_a7a3bb39.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.27.35 (3).jpeg,img_c9f53d06.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.27.36 (2).jpeg,img_90603c3a.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.43 (1).jpeg,img_e35c8b4b.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.43.jpeg,img_37b2d6dc.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.45 (2).jpeg,img_4d64c3ae.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.45 (3).jpeg,img_bd738e90.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.45 (4).jpeg,img_bbe3f1fc.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.45.jpeg,img_4c3695ad.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.46 (1).jpeg,img_de7cd841.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.46 (2).jpeg,img_649d77cc.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.46 (3).jpeg,img_3c66565b.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.46.jpeg,img_372b89a7.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.49 (3).jpeg,img_327bd52b.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.50 (3).jpeg,img_5fae05b1.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.50.jpeg,img_841234d0.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.52 (2).jpeg,img_d0bcf8ea.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.52 (3).jpeg,img_8c53ee97.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.53 (1).jpeg,img_fd86d419.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.54 (1).jpeg,img_192e00ed.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.54 (2).jpeg,img_a092fc5f.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.54.jpeg,img_c40321ce.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.55 (1).jpeg,img_488fa5fc.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.55 (2).jpeg,img_a3dedf92.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.55 (3).jpeg,img_07a76f6a.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.55 (4).jpeg,img_6f6d5811.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.55.jpeg,img_6cf4b6dd.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.58 (1).jpeg,img_038799f8.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.29.59.jpeg,img_7e043a50.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.50 (2).jpeg,img_dc014cc2.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.50 (3).jpeg,img_f83cf881.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.51 (1).jpeg,img_c6f8f2c0.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.51 (2).jpeg,img_7575a784.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.51.jpeg,img_f63ae624.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.54 (1).jpeg,img_9394a54b.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.54 (2).jpeg,img_791e6e52.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.54 (3).jpeg,img_696bcaef.jpeg
תקין יום,WhatsApp Image 2026-09-09 at 11.31.55.jpeg,img_bcf36623.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.57 (2).jpeg,img_22159b66.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.57 (3).jpeg,img_79a76cba.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.57 (4).jpeg,img_955a33e4.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.58 (2).jpeg,img_fe1957f6.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.58 (3).jpeg,img_7bf3d383.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.59 (1).jpeg,img_fa7d7d7b.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.59 (3).jpeg,img_981afa1e.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.42.59.jpeg,img_f068a9a7.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.00 (1).jpeg,img_c5ea3478.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.00 (2).jpeg,img_be08eeb3.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.00.jpeg,img_4ef61c87.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.01 (3).jpeg,img_d385c90c.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.02 (1).jpeg,img_00fe1599.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.02 (2).jpeg,img_63fad1ff.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.02 (3).jpeg,img_cb3985c3.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.02.jpeg,img_41cdd824.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.03 (1).jpeg,img_b66565a2.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.03 (2).jpeg,img_5ea424eb.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.03 (3).jpeg,img_881cf0b6.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.03.jpeg,img_19385763.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.04 (1).jpeg,img_04b1c902.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.04.jpeg,img_428e4506.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.07 (2).jpeg,img_25f18fb2.jpeg
תקין יום,WhatsApp Image 2026-09-22 at 12.43.08.jpeg,img_a7a1789e.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.47 (2).jpeg,img_12b3d4ef.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.47 (3).jpeg,img_bd5250f9.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.47.jpeg,img_04b6553a.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.48 (2).jpeg,img_5fe7180e.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.48 (3).jpeg,img_98480368.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.48.jpeg,img_e438b337.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.49 (1).jpeg,img_7c8f13a9.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.49 (2).jpeg,img_ffd70a9c.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.56 (1).jpeg,img_8e41e37c.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.29.56.jpeg,img_117bb8c6.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.31.49 (1).jpeg,img_b5c3a81e.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.31.49 (2).jpeg,img_58f145b1.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.31.49.jpeg,img_a200b52e.jpeg
תקין לילה,WhatsApp Image 2026-09-09 at 11.31.50 (1).jpeg,img_dfa74e21.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.42.54 (1).jpeg,img_a1f68496.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.42.54 (2).jpeg,img_9183d6f8.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.42.54 (3).jpeg,img_753d1a7f.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.42.56 (3).jpeg,img_56e683f9.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.00 (3).jpeg,img_2e9ce7b5.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.01 (1).jpeg,img_9a15388c.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.01 (2).jpeg,img_dbb222f5.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.01.jpeg,img_8f2e2930.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.04 (2).jpeg,img_2b991090.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.04 (3).jpeg,img_56653df3.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.06 (1).jpeg,img_6aca91b2.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.06 (2).jpeg,img_87c99e61.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.06 (3).jpeg,img_1142579d.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.06.jpeg,img_bf35d12a.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.07 (1).jpeg,img_f3698994.jpeg
תקין לילה,WhatsApp Image 2026-09-22 at 12.43.07.jpeg,img_5d80941e.jpeg
